ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled,_enable_custom_addons,_enable_text_field_nombre_persona,_enable_text_field_fecha_evento,_enable_text_field_localidad,_enable_text_field_iglesia,_enable_text_field_hora_misa,_enable_text_field_restaurante,_enable_text_field_observaciones,_enable_text_field_ano_curso,_enable_text_field_hora_evento,_enable_text_field_inicial
37595,RECORDATORIO CUADRADO CON DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
37633,RECORDATORIO CUADRADO CON NIÑA COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
37683,RECORDATORIO  RECTANGULAR CON NIÑA COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
37734,RECORDATORIO  MARCAPÁGINAS CON NIÑA COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
37784,ETIQUETA REDONDA CON NIÑA COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
38651,RECORDATORIO  MARCAPÁGINAS CON NIÑA COMUNIÓN TIPO ACUARELA (copia),4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
38801,RECORDATORIO CUADRADO CON NIÑA COMUNIÓN TIPO ACUARELA (copia),4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
38965,GUIRNALDA DE BANDERINES CON DIBUJO DE NIÑO DE COMUNION Y NOMBRE  DEL NIÑO,4,NOMBRE,on,FECHA,off,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,off,off,off,off,off,off,,off,off
39139,PACK ETIQUETAS NIÑA COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
39154,PACK ETIQUETA REDONDA CON DIBUJO PACK ETIQUETA NIÑO COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
39727,RECORDATORIO DOBLE MARCAPÁGINA CON DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
40392,ETIQUETA REDONDA CON NIÑA COMUNIÓN TIPO ACUARELA CON REVERSO CON FLORES LIBERTY,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
40401,RECORDATORIO  MARCAPÁGINAS CON NIÑA COMUNIÓN TIPO ACUARELA CON ANVERSO DE FLORES LIBERTY,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
