ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled
22912,GUIRNALDA DE BANDERINES CON NOMBRE Y NIÑO PERSONALIZADO,4,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,off,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22922,GUIRNALDA DE BANDERINES CON NOMBRE Y NIÑA PERSONALIZADA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,off,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22937,LIBRO DE FIRMAS DE PRIMERA COMUNIÓN CON LOMO KRAFT Y NIÑO PERSONALIZADO,5,NOMBRE DEL NIÑO,on,APELLIDOS DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD DE LA COMUNIÓN,on,,,,,,
22967,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA CON CORONA DE FLORES,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
23011,LIBRO DE FIRMAS CON INICIAL CON FLORES (NIÑA),6,NOMBRE DE LA NIÑA,on,APELLIDOS DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LUGAR DE LA COMUNIÓN,on,OBSERVACIONES DEL PEDIDO,on,,,,
23018,RECORDATORIO DE COMUNIÓN DOBLE CON INICIAL DE FLORES Y CARTULINA KRAFT,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
23031,RECORDATORIO COMUNIÓN CON INICIAL DE FLORES,4,NOMBRE DE LA NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
23041,ETIQUETA CUADRADA CON INCIAL CON FLORES,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
23056,RECORDATORIO DE COMUNIÓN CON INICIAL DE FLORES,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
23064,RECORDATORIO DE COMUNIÓN CUADRADO CON INICIAL DE FLORES CON CARTULINA KRAFT,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
